"product_id","product_name","aliases","official_url","segment","primary_market","official_languages","operating_status","verification_status","comparison_priority","inclusion_reason","checked_at"
"adspower","AdsPower","AdsPower 指纹浏览器","https://www.adspower.com/","core_antidetect_browser","global;China","zh;en;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"dolphin-anty","Dolphin Anty","Dolphin{anty}","https://dolphin-anty.com/","core_antidetect_browser","global;Eastern Europe","en;ru;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"gologin","GoLogin","Gologin;Orbita","https://gologin.com/","core_antidetect_browser","global","en;zh;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"morelogin","MoreLogin","MoreLogin Antidetect Browser","https://www.morelogin.com/","core_antidetect_browser","global;China","zh;en;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"multilogin","Multilogin","Multilogin X;Mimic;Stealthfox","https://multilogin.com/","core_antidetect_browser","global;Europe","en;multi","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"web4-browser","Web4 Browser","Web4;Web4 AI Browser","https://web4browser.io/cn/","core_antidetect_browser","global;China","zh;en","active","detailed_fields_verified","P0_current_core","已完成系统、内核、免费额度、自动化、团队、存储与价格字段核验","2026-07-23"
"bitbrowser","BitBrowser","比特浏览器;比特指纹浏览器","https://www.bitbrowser.cn/","core_antidetect_browser","China;global","zh;en;multi","active","official_homepage_verified","P1_deep_review_candidate","中文搜索需求较高；官网提供价格、帮助中心、API、RPA和双内核资料","2026-07-23"
"vmlogin","VMLogin","VMLOGIN;VMLogin 多登浏览器","https://www.vmlogin.com.cn/","core_antidetect_browser","China;global","zh;en","active","official_homepage_verified","P1_deep_review_candidate","中文市场长期存在；官网公开环境隔离、指纹、REST API与团队资料","2026-07-23"
"hubstudio","Hubstudio","HubStudio;Hubstudio 指纹浏览器","https://www.hubstudio.cn/","core_antidetect_browser","China","zh","active","official_site_reachable_unparsed","P1_deep_review_candidate","中文跨境市场相关性高；需继续核对官网字段、价格和客户端资料","2026-07-23"
"roxy-browser","Roxy Browser","Roxy 指纹浏览器","https://roxybrowser.cn/","core_antidetect_browser","China","zh","active","official_homepage_verified","P1_deep_review_candidate","中文搜索与跨境场景相关性高；官网明确定位为指纹浏览器","2026-07-23"
"ixbrowser","ixBrowser","IX Browser","https://www.ixbrowser.com/","core_antidetect_browser","global;China","en;zh;multi","active","official_homepage_verified","P1_deep_review_candidate","国际和中文榜单常见；官网明确提供反检测浏览器与多环境管理","2026-07-23"
"octo-browser","Octo Browser","Octo;Octium","https://octobrowser.net/","core_antidetect_browser","global;Eastern Europe","en;zh;multi","active","official_homepage_verified","P1_deep_review_candidate","国际市场知名度和公开文档较高；提供指纹、团队和API资料","2026-07-23"
"incogniton","Incogniton","Incogniton Antidetect Browser","https://incogniton.com/","core_antidetect_browser","global;Europe","en;zh;multi","active","official_homepage_verified","P1_deep_review_candidate","全球用户与搜索需求较高；官网有价格、帮助中心和API文档","2026-07-23"
"kameleo","Kameleo","Kameleo Antidetect Browser","https://kameleo.io/","automation_antidetect_browser","global;Europe","en","active","official_homepage_verified","P1_deep_review_candidate","开发者和自动化场景差异明显；公开SDK与自动化资料较完整","2026-07-23"
"undetectable","Undetectable","Undetectable.io","https://undetectable.io/","core_antidetect_browser","global;Eastern Europe","en;ru;multi","active","official_homepage_verified","P1_deep_review_candidate","国际市场常见产品；官网公开本地环境、团队和指纹配置资料","2026-07-23"
"dicloak","DICloak","DICloak Antidetect Browser","https://dicloak.com/","core_antidetect_browser","global;China","en;zh;multi","active","official_homepage_and_docs_verified","P1_deep_review_candidate","官网、帮助中心、API、RPA与MCP资料较完整，适合进入扩展核验","2026-07-23"
"hidemium","Hidemium","Hidemium Antidetect Browser","https://hidemium.io/","automation_antidetect_browser","global;Vietnam","en;vi;multi","active","official_homepage_verified","P1_deep_review_candidate","国际市场活跃；官网公开多环境、团队、自动化、AI和价格资料","2026-07-23"
"geelark","GeeLark","GeeLark Antidetect Browser;GeeLark Cloud Phone","https://www.geelark.com/product/antidetect-browser/","core_antidetect_browser_cloud_phone","global;China","en;zh;multi","active","official_homepage_and_docs_verified","P1_deep_review_candidate","同时提供浏览器环境与Android云手机，适合解释网页和移动端环境的边界","2026-07-23"
"hidemyacc","Hidemyacc","HideMyAcc","https://hidemyacc.com/","core_antidetect_browser","global;Vietnam","en;vi;multi","active","official_homepage_verified","P2_catalog_verified","官方站点明确提供反检测浏览器、多环境和团队能力","2026-07-23"
"linken-sphere","Linken Sphere","Sphere;Sphere Browser","https://ls.app/","core_antidetect_browser","Eastern Europe;global","en;ru;multi","active","official_homepage_verified","P2_catalog_verified","长期存在的反检测浏览器；官网仍在运营并提供多环境与团队资料","2026-07-23"
"genlogin","GenLogin","Gen Login;Titan Browser","https://genlogin.com/","automation_antidetect_browser","Vietnam;global","en;vi","active","official_homepage_verified","P2_catalog_verified","将指纹环境、多账号和无代码自动化结合，官网资料较完整","2026-07-23"
"gpmlogin","GPMLogin","GPM Login","https://gpmloginapp.com/en","automation_antidetect_browser","Vietnam;global","vi;en","active","official_homepage_verified_domain_review","P2_catalog_verified","越南市场产品；存在多个官方风格域名，深度比较前需先确认规范域名","2026-07-23"
"clonbrowser","ClonBrowser","Clon Browser","https://www.clonbrowser.com/","automation_antidetect_browser","global;China","en;zh;multi","active","official_homepage_verified","P2_catalog_verified","官网已从指纹浏览器扩展为多账号自动化浏览器","2026-07-23"
"mostlogin","MostLogin","Most Login","https://www.mostlogin.com/","core_antidetect_browser_cloud_phone","global;China","en;zh;multi","active","official_homepage_verified","P2_catalog_verified","同时提供反检测浏览器和云手机；需把浏览器与云手机字段分开","2026-07-23"
"mulogin","MuLogin","Mu Login","https://www.mulogin.com/","core_antidetect_browser","global;China","en;zh;multi","active","official_homepage_and_docs_verified","P2_catalog_verified","官网和文档公开环境隔离、API、自动化、团队与价格资料","2026-07-23"
"lalicat","Lalicat","Lalicat Antidetect Browser","https://www.lalicat.com/","core_antidetect_browser","global;China","en;zh;multi","active","official_homepage_verified","P2_catalog_verified","官网仍可访问并明确定位多登录虚拟指纹浏览器","2026-07-23"
"maskfog","Maskfog","MaskFog 指纹浏览器","https://www.maskfog.com/","core_antidetect_browser_with_network","China","zh","active","official_homepage_verified","P2_catalog_verified","中文跨境产品，浏览器与自带网络能力结合，需单独处理捆绑价格","2026-07-23"
"xlogin","XLogin","XLOGIN","https://xlogin.us/","core_antidetect_browser","global;China","en","active","official_homepage_verified","P2_catalog_verified","官网公开指纹隔离、Selenium、Puppeteer、REST API和团队能力","2026-07-23"
"vision-browser","Vision Browser","Vision Antidetect Browser","https://browser.vision/","core_antidetect_browser","Eastern Europe;global","en;ru","active","official_homepage_verified","P2_catalog_verified","官方站点与博客活跃，明确面向多账号和联盟营销","2026-07-23"
"antbrowser","AntBrowser","Ant Browser","https://antbrowser.pro/","core_antidetect_browser","Eastern Europe;global","en;ru;zh;multi","active","official_homepage_verified","P2_catalog_verified","官网提供Windows、macOS、Linux与多语言入口","2026-07-23"
"antik-browser","Antik Browser","Antik","https://antik-browser.com/","core_antidetect_browser","Eastern Europe;global","en;ru;uk;zh","active","official_homepage_verified","P2_catalog_verified","官网公开多账号、团队、指纹、Local API和价格资料","2026-07-23"
"marketerbrowser","MarketerBrowser","Marketer Browser","https://www.marketerbrowser.com/","automation_antidetect_browser","global;China","en","active","official_homepage_verified","P2_catalog_verified","面向营销、多环境、同步和自动化；公开API与更新内容","2026-07-23"
"easybr","EasyBR","EasyBR 免费指纹浏览器","https://www.ebrower.com/","core_antidetect_browser_custom_development","China","zh;en","active","official_homepage_verified","P2_catalog_verified","同时提供标准客户端、浏览器定制与贴牌服务，需区分产品和服务","2026-07-23"
"yunlogin","YunLogin","云登浏览器;云登AI","https://www.yunlogin.com/","automation_antidetect_browser","China","zh","active","official_homepage_verified","P2_catalog_verified","中文市场产品；官网公开独立指纹环境、RPA、SDK、API和团队能力","2026-07-23"
"zlogin","ZLogin","ZLogin Browser","https://www.zlogin.com/","core_antidetect_browser","global","en","active","official_homepage_verified","P2_catalog_verified","官网明确提供指纹隔离、多环境、自动化和团队功能","2026-07-23"
"omnilogin","OmniLogin","Omnilogin","https://www.omnilogin.net/","automation_antidetect_browser","Vietnam;global","en;vi;multi","active","official_homepage_and_docs_verified","P2_catalog_verified","官网和文档公开本地数据、自动化、API与多环境能力","2026-07-23"
"nstbrowser","Nstbrowser","NST Browser;Nstbrowser","https://www.nstbrowser.io/en","automation_cloud_antidetect_browser","global;China","en;zh","active","official_homepage_and_docs_verified","P2_catalog_verified","同时覆盖本地多账号、云浏览器、抓取和AI Agent，需拆分产品形态","2026-07-23"
"wade-x","WADE X","Wade;Wade Browser","https://wade.is/","core_antidetect_browser","Eastern Europe;global","en;multi","active","official_homepage_verified","P2_catalog_verified","官网公开隔离环境、真实设备指纹和自动化入口","2026-07-23"
"antilogin","AntiLogin","Antilogin","https://antilogin.com/","core_antidetect_browser","Eastern Europe;global","en;ru","active","official_homepage_verified","P2_catalog_verified","官网提供Windows、macOS、多环境、团队和自动化资料","2026-07-23"
"personata","Personata","Personata Browser","https://personata.io/","core_antidetect_browser","global","en","active","official_homepage_verified","P2_catalog_verified","官网提供Windows、macOS、Linux和免费多环境产品","2026-07-23"
"accovod","Accovod","Accovod Antidetect Browser","https://accovod.com/","automation_antidetect_browser","Eastern Europe;global","en;ru;multi","active","official_homepage_and_updates_verified","P2_catalog_verified","官网及2026更新日志活跃，公开环境隔离、自动化和iOS产品资料","2026-07-23"
"identory","IDENTORY","Identory Antidetect Browser","https://identory.com/","automation_antidetect_browser","Eastern Europe;global","en;ru","active","official_homepage_verified","P2_catalog_verified","官网公开本地存储、Linux、移动指纹模拟、Puppeteer和Playwright资料","2026-07-23"
"logii","Logii","Logii Browser","https://logii.in/","core_antidetect_browser","global;India","en","active","official_homepage_verified","P2_catalog_verified","官网仍提供多环境、代理、账号分享与付费入口，但技术资料需要继续核验","2026-07-23"
"surfinite","Surfinite","Surfinite Antidetect Browser","https://surfinite.com/","core_antidetect_browser","Eastern Europe;global","ru;en;zh","active","official_homepage_and_docs_verified","P2_catalog_verified","官网和安装文档可访问，公开团队权限、Windows与macOS客户端资料","2026-07-23"
"huayang-lingdong","花漾灵动","花漾指纹分身浏览器;花漾RPA","https://www.szdamai.com/","automation_antidetect_browser","China","zh","active","official_homepage_and_docs_verified","P2_catalog_verified","中文市场产品；官网公开浏览器分身、IP隔离、RPA、AI及多系统下载资料","2026-07-23"
"1browser","1Browser","1browser;1 Browser","https://1browser.com/antidetect-browser/","core_antidetect_browser_with_network","global","en;ru","active","official_homepage_verified","P2_catalog_verified","官网公开免费环境、内置代理、Linux和多环境指纹字段，需核对页面口径冲突","2026-07-23"
"okbrowser","OKBrowser","OKBrow;OK浏览器","https://github.com/za515217965/OKBrowser","core_antidetect_browser","China","zh","active","repository_and_release_verified","P2_catalog_verified","中文GitHub项目，公开产品说明、修改教程和安装包；代码并未完整开源","2026-07-23"
"ziniao","紫鸟浏览器","紫鸟超级浏览器;Ziniao","https://www.ziniao.com/","ecommerce_security_browser","China","zh","active_scope_adjacent","official_homepage_verified","P3_adjacent_catalog","主要定位跨境电商店铺安全与网络环境，不应直接与通用反检测浏览器同表排名","2026-07-23"
"zhanfu-browser","站斧浏览器","Zhanfu Browser","https://zhanfubrowser.com/","ecommerce_security_browser","China","zh","active_scope_adjacent","official_homepage_verified","P3_adjacent_catalog","主要定位跨境电商安全访问环境，需要单独核对是否开放通用指纹字段","2026-07-23"
"kuajingvs","跨境卫士安全浏览器","跨境卫士;KuajingVS","https://www.kuajingvs.com/","ecommerce_security_browser","China","zh","active_scope_adjacent","official_homepage_verified","P3_adjacent_catalog","以跨境店铺、安全线路和协作为主，与通用反检测产品的计费和能力模型不同","2026-07-23"
"ghost-browser","Ghost Browser","GhostBrowser","https://ghostbrowser.com/","multi_session_browser","global","en","active_scope_adjacent","official_homepage_verified","P3_adjacent_catalog","核心是身份标签和多会话生产力，不应默认视为完整指纹伪装产品","2026-07-23"
"sessionbox","SessionBox","SessionBox One","https://sessionbox.io/","multi_session_browser","global","en","active_scope_adjacent","official_homepage_verified","P3_adjacent_catalog","主要解决多会话和账号隔离，需与可配置设备指纹产品分开","2026-07-23"
"indigo-browser","Indigo Browser","Indigo X","https://old.indigobrowser.com/","legacy_antidetect_browser","Eastern Europe","ru","sunsetting","official_migration_notice_verified","P5_legacy","官方频道宣布迁移至Multilogin，并计划于2026-08-31结束运行","2026-07-23"
"antibrow","AntiBrow","AntiBrow AI Browser","https://antibrow.com/","emerging_ai_antidetect_browser","global","en","active_emerging","official_claims_only_emerging","P4_monitor","2026年新出现的AI Agent与Playwright/MCP产品；需要验证公司、版本和真实下载","2026-07-23"
"cloak-login","Cloak Login","CloakBrowse","https://cloakbrowse.com/en/","emerging_antidetect_browser_cloud_phone","global","en","active_emerging","official_claims_only_emerging","P4_monitor","新出现的源码级Chromium与云手机产品；需验证主体、发布历史和可用客户端","2026-07-23"
"veil-browser","Veil Browser","Veil","https://veilbrowser.cc/","emerging_local_antidetect_browser","global","en","active_emerging","official_claims_only_emerging","P4_monitor","新出现的本地优先产品；需核对公司、下载签名、版本历史与文档","2026-07-23"
"dasbrowser","DasBrowser","Das Browser","https://www.dasbrowser.com/","emerging_antidetect_browser","global","en","active_emerging","official_claims_only_emerging","P4_monitor","新出现的免费多账号产品；需进一步验证主体和持续更新能力","2026-07-23"
"bagel-browser","Bagel Browser","Bagel","https://bagelbrowser.com/","emerging_macos_antidetect_browser","global","en","active_emerging","official_claims_only_emerging","P4_monitor","新出现的macOS专用产品；需核对实际版本、下载和运营主体","2026-07-23"
"ipcloak-browser","ipcloak.ai Browser","IP Cloak Browser","https://browser.ipcloak.ai/en/","emerging_ads_antidetect_browser","global","en","active_emerging","official_claims_only_emerging","P4_monitor","新出现的广告投放与cloaking捆绑产品；与普通指纹浏览器边界不同且需验证主体","2026-07-23"
"antybrowser","Antybrowser","Anty Browser","https://antybrowser.com/","emerging_antidetect_browser","global","en","active_emerging","official_claims_only_emerging","P4_monitor","新出现产品，与AntBrowser及Dolphin Anty名称容易混淆，需验证品牌身份与持续更新","2026-07-23"
"flashid","FlashID","FlashID Antidetect Browser;FlashBrowser","https://www.flashid.net/","emerging_antidetect_browser_cloud_phone","global","en;zh;multi","active_beta","official_homepage_release_notes_verified","P4_monitor","官网提供反检测浏览器与云手机；公开客户端仍为0.0.x Beta版本，暂不进入核心比较","2026-07-23"
"cloakbrowser-open-source","CloakBrowser","CloakHQ CloakBrowser","https://github.com/CloakHQ/CloakBrowser","open_source_browser_engine","global","en","active_open_source","repository_verified","P5_open_source","开源源码级浏览器项目，不是完整商业团队管理SaaS","2026-07-23"
"camoufox","Camoufox","Camoufox Browser","https://github.com/daijro/camoufox","open_source_browser_engine","global","en","active_open_source","repository_verified","P5_open_source","面向自动化的Firefox反检测项目，不应与商业多账号客户端按套餐比较","2026-07-23"
"botbrowser","BotBrowser","Bot Browser","https://github.com/MiddleSchoolStudent/BotBrowser","open_source_browser_engine","global","en","active_open_source","repository_verified","P5_open_source","开发者反自动化检测项目，不是完整多账号团队产品","2026-07-23"
"fingerprint-chromium","fingerprint-chromium","Fingerprint Chromium","https://github.com/adryfish/fingerprint-chromium","open_source_browser_engine","global;China","zh;en","active_open_source","repository_verified","P5_open_source","Chromium指纹相关开源项目，适合作为技术生态而非商业产品纳入","2026-07-23"
"open-anti-browser","Open-Anti-Browser","Open Anti Browser","https://github.com/Wtcity22/Open-Anti-Browser","open_source_browser_project","global;China","zh;en","active_open_source","repository_verified","P5_open_source","开源反检测浏览器项目，需按仓库活跃度和发布版本评价","2026-07-23"
